product|price|SP|value|supc|id|prodid
ssn-anabolic-muscle-builder-xxxlchocolate|1750|1194|-|-|-|610222
ssn-whey-protein-chocolate-2|3040|2030|-|-|-|610210
ssn-anabolic-muscle-builderchocolate-11|7620|5312|-|-|-|610228
ultimate-nutrition-muscle-juice-revolution|6299|5354|Vanilla|SDL327000937|952361533|1857831677
ultimate-nutrition-muscle-juice-revolution|6299|5354|Cookies|SDL316320104|1690088813|1857831677
bsn-syntha6|6999|5095|5 Lbs.|SDL081187859|1487407|1208649
ultimate-nutrition-prostar-100-whey|6749|5737|Rum Raisin|SDL098965140|2025903787|1205369031
dymatize-elite-whey-2-lbs|3299|2585|Strawberry|SDL377459267|1806602440|1425762576
bsn-truemass|9000|9000|5.75 Lbs.|1852499|909530|673007
dymatize-super-mass-gainer-6|3475|3199|Vanilla|1782155|838284|623925
dymatize-super-mass-gainer-6|3640|2973|Chocolate|1782153|838282|623925
dymatize-super-mass-gainer-6|2700|2700|Strawberry|1782154|838283|623925
muscletech-nitrotech-4-lbs|8670|5300|Milk Chocolate|SDL666988405|931944818|761909
muscletech-nitrotech-4-lbs|8000|5355|Cookies n Cream|SDL617820934|133521158|761909
muscletech-nitrotech-4-lbs|6400|4862|Vanilla|SDL435025648|1013771|761909
muscle-tech-100-premium-whey|6100|4978|Strawberry|SDL620051388|1657385572|590863
muscle-tech-100-premium-whey|5950|3950|Chocolate|1731173|786006|590863
muscle-tech-100-premium-whey|5950|3983|Deluxe Chocolate|SDL657000826|1000975982|590863
muscle-tech-100-premium-whey|5950|4098|Vanila|1731174|786007|590863
muscletech-nitrotech-4-lbs|6400|5280|Strawberry|SDL420954491|1013769|761909
muscletech-nitrotech-4-lbs|8000|5380|Chocolate|SDL402591645|1013762|761909
dymatize-elite-whey-2-lbs|3899|3509|Chocolate Fudge|SDL362898729|1118287220|1425762576
muscletech-100-mass-gainer-12|7800|6490|Cookies \u0026 Cream|SDL407978254|466695961|1412336
muscletech-100-mass-gainer-12|6999|5580|Strawberry|SDL407642213|128978649|1412336
muscletech-100-mass-gainer-12|6999|5688|Vanilla|SDL407375452|95654687|1412336
muscletech-100-mass-gainer-12|6999|4630|Chocolate|SDL265656804|1791752|1412336
dymatize-elite-whey-2-lbs|3299|3299|Gourmet Vanilla|SDL365638648|718870100|1425762576
dymatize-elite-whey-2-lbs|3299|2800|Chocolate|SDL361330178|382586177|1425762576
dymatize-elite-whey-5-lbs|7199|5040|Chocolate fudge|SDL300579326|1674314295|623929
dymatize-elite-whey-2-lbs|3299|2898|Rich Chocolate|SDL369826178|162914399|1425762576
ultimate-nutrition-prostar-100-whey|11999|10199|Chocolate|SDL084614639|82840856|1710259655
ultimate-nutrition-prostar-100-whey|11999|10199|Cookies \u0026 Cream|SDL088550575|2046718326|1710259655
ultimate-nutrition-prostar-100-whey|11999|10199|Vanilla|SDL087093410|2013216204|1710259655
ultimate-nutrition-prostar-100-whey|11999|10199|Strawberry|SDL086376853|446997421|1710259655
dymatize-elite-whey-5-lbs|6800|5050|Cookies \u0026 Cream|SDL298070423|1656205650|623929
dymatize-elite-whey-5-lbs|6399|5120|Gourmet Vanilla|SDL295240316|1018691719|623929
universal-nutrition-ultra-whey-pro|7725|6900|6.6 Lbs.|SDL143330756|1520368|1241131
universal-nutrition-ultra-whey-pro|11500|9090|10 Lbs.|SDL143830180|1520399|1241131
universal-nutrition-ultra-whey-pro|7000|5069|5 Lbs.|SDL142913036|1520376|1241131
dymatize-elite-whey-5-lbs|7199|5040|Strawberry Blast|SDL295625156|615127311|623929
ultimate-nutrition-prostar-100-whey|6749|5737|Coca-Mocha|SDL100058582|1939838192|1205369031
ultimate-nutrition-prostar-100-whey|6749|5737|Natural|SDL101509154|1691549416|1205369031
dymatize-elite-whey-5-lbs|6399|5000|Chocolate|1782160|838289|623929
ultimate-nutrition-prostar-100-whey|6749|5737|Cookies \u0026 Cream|SDL094684160|1627068270|1205369031
ultimate-nutrition-prostar-100-whey|6749|5737|Vanilla|SDL090130332|1642945150|1205369031
ultimate-nutrition-prostar-100-whey|6749|5737|Banana|SDL095550443|1304126094|1205369031
ultimate-nutrition-prostar-100-whey|6749|5737|Strawberry|SDL091711801|1256655652|1205369031
ultimate-nutrition-prostar-100-whey|6749|5737|Rasberry|SDL098368291|1002222393|1205369031
ultimate-nutrition-prostar-100-whey|6749|5737|Chocolate|SDL086765894|852027911|1205369031
bsn-syntha6|4790|4790|3 Lbs.|SDL079942263|1487406|1208649
universal-nutrition-gain-fast-3100|4800|3775|Chocolate|1628822|682424|508332
universal-nutrition-gain-fast-3100|5800|4224|Strawberry|SDL112679379|1741704635|508332
universal-nutrition-gain-fast-3100|5800|4224|Vanilla|SDL114041554|149469052|508332
ultimate-nutrition-muscle-juice-revolution|6299|5354|Strawberry|SDL337086842|1638608772|1857831677
ultimate-nutrition-muscle-juice-revolution|6299|5354|Chocolate|SDL340864195|1421469016|1857831677
ultimate-nutrition-muscle-juice-revolution|6299|5354|Banana|SDL332160143|1189173675|1857831677
ultimate-nutrition-prostar-100-whey|6749|5737|Chocolate Mint|SDL099369129|79542468|1205369031
